date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location,Tornado,MAGITUDE,Deaths,WINDSPEED
1/31/2010,8,-3,0,8.7,2,100,7:29:00 PM,7:38:00 AM,6:52:00 AM,5:26:00 PM,-4,-2,1,-2,17,21,72,0,1025,8,10,64,9,mississippi,NO,0,0,0
2/1/2010,9,-2,0,8.7,2,77,8:39:00 PM,8:12:00 AM,6:51:00 AM,5:27:00 PM,-1,1,3,1,15,39,74,0.7,1022,9,9,101,8,mississippi,NO,0,0,0
2/2/2010,11,3,0,8.7,3,69,9:47:00 PM,8:45:00 AM,6:50:00 AM,5:28:00 PM,4,4,6,4,18,22,87,0,1020,11,9,307,9,mississippi,NO,0,0,0
2/3/2010,10,1,0,8.7,2,62,10:54:00 PM,9:19:00 AM,6:50:00 AM,5:29:00 PM,2,3,5,3,17,46,85,0,1023,10,8,52,10,mississippi,NO,0,0,0
2/4/2010,7,5,0,4.1,2,54,11:59:00 PM,9:54:00 AM,6:49:00 AM,5:30:00 PM,5,3,6,3,24,85,93,31.6,1018,7,7,94,14,mississippi,NO,0,0,0
2/5/2010,9,6,0,4.1,2,47,No moonrise,10:31:00 AM,6:48:00 AM,5:31:00 PM,7,5,8,5,22,100,94,13.2,1006,9,6,246,13,mississippi,NO,0,0,0
2/6/2010,6,1,0,4.1,1,39,1:03:00 AM,11:13:00 AM,6:47:00 AM,5:32:00 PM,1,-1,3,-1,34,94,85,0,1013,6,8,320,21,mississippi,NO,0,0,0
2/7/2010,6,-1,0,8.7,2,32,2:03:00 AM,11:59:00 AM,6:46:00 AM,5:33:00 PM,-2,0,2,0,12,21,79,0,1019,6,10,203,7,mississippi,NO,0,0,0
2/8/2010,8,-1,0,7.2,1,24,2:59:00 AM,12:49:00 PM,6:46:00 AM,5:34:00 PM,0,1,3,1,17,38,77,2,1017,8,9,122,10,mississippi,NO,0,0,0
2/9/2010,7,-3,0,5.6,1,16,3:50:00 AM,1:44:00 PM,6:45:00 AM,5:35:00 PM,1,-1,3,-1,32,58,87,18.7,1015,7,8,274,18,mississippi,NO,0,0,0
2/10/2010,4,-3,0,8.7,2,9,4:33:00 AM,2:40:00 PM,6:44:00 AM,5:36:00 PM,-7,-5,0,-5,26,19,63,0,1023,4,10,322,15,mississippi,NO,0,0,0
2/11/2010,5,-3,0,8.7,2,1,5:13:00 AM,3:37:00 PM,6:43:00 AM,5:36:00 PM,-6,-2,1,-2,13,26,64,0,1021,5,9,223,8,mississippi,NO,0,0,0
2/12/2010,2,-2,0,4.1,1,0,5:47:00 AM,4:33:00 PM,6:42:00 AM,5:37:00 PM,-3,-3,0,-3,18,61,81,2.2,1016,2,5,205,10,mississippi,NO,0,0,0
2/13/2010,8,-3,0,8.7,2,0,6:16:00 AM,5:30:00 PM,6:41:00 AM,5:38:00 PM,-1,0,2,0,16,27,86,0,1017,8,7,279,8,mississippi,NO,0,0,0
2/14/2010,9,-2,0,5.6,1,0,6:44:00 AM,6:24:00 PM,6:40:00 AM,5:39:00 PM,2,2,4,2,19,65,89,2.8,1015,9,6,234,11,mississippi,NO,0,0,0
2/15/2010,3,-4,0,5.7,1,6,7:11:00 AM,7:20:00 PM,6:39:00 AM,5:40:00 PM,-4,-6,-1,-6,29,45,81,2,1017,3,7,298,18,mississippi,NO,0,0,0
2/16/2010,6,-4,0,8.7,2,13,7:37:00 AM,8:15:00 PM,6:38:00 AM,5:41:00 PM,-7,-4,0,-4,21,9,63,0,1020,6,10,308,12,mississippi,NO,0,0,0
2/17/2010,8,-4,0,8.7,2,21,8:04:00 AM,9:11:00 PM,6:37:00 AM,5:42:00 PM,-6,-3,1,-3,21,13,65,0,1020,8,10,305,12,mississippi,NO,0,0,0
2/18/2010,11,-2,0,8.7,2,29,8:32:00 AM,10:09:00 PM,6:36:00 AM,5:43:00 PM,-3,0,3,0,18,3,70,0,1022,11,10,312,10,mississippi,NO,0,0,0
2/19/2010,14,-1,0,8.7,3,36,9:04:00 AM,11:10:00 PM,6:35:00 AM,5:44:00 PM,-1,4,5,4,12,16,67,0,1022,14,10,117,6,mississippi,NO,0,0,0
2/20/2010,16,0,0,8.7,3,44,9:41:00 AM,No moonset,6:34:00 AM,5:45:00 PM,0,6,8,6,13,8,60,0,1020,16,10,157,8,mississippi,NO,0,0,0
2/21/2010,18,4,0,8.7,3,51,10:24:00 AM,12:12:00 AM,6:33:00 AM,5:45:00 PM,5,9,10,9,26,36,72,12.2,1014,18,9,155,15,mississippi,NO,0,0,0
2/22/2010,12,5,0,4.2,2,59,11:15:00 AM,1:15:00 AM,6:31:00 AM,5:46:00 PM,8,8,10,8,22,93,90,6.4,1009,12,9,296,13,mississippi,NO,0,0,0
2/23/2010,9,3,0,8.7,2,66,12:14:00 PM,2:16:00 AM,6:30:00 AM,5:47:00 PM,1,3,6,3,20,60,76,0,1014,9,10,333,12,mississippi,NO,0,0,0
2/24/2010,6,-3,0,7.2,1,74,1:22:00 PM,3:14:00 AM,6:29:00 AM,5:48:00 PM,-3,-1,3,-1,25,26,68,0,1018,6,10,331,15,mississippi,NO,0,0,0
2/25/2010,8,-3,0,8.7,2,81,2:34:00 PM,4:05:00 AM,6:28:00 AM,5:49:00 PM,-11,-2,1,-2,16,13,42,0,1021,8,10,271,9,mississippi,NO,0,0,0
2/26/2010,11,-1,0,8.7,2,89,3:48:00 PM,4:50:00 AM,6:27:00 AM,5:50:00 PM,-6,2,4,2,13,35,50,0,1018,11,10,233,7,mississippi,NO,0,0,0
2/27/2010,11,0,0,8.7,2,97,5:01:00 PM,5:30:00 AM,6:26:00 AM,5:50:00 PM,-2,2,4,2,22,18,64,0,1015,11,10,286,12,mississippi,NO,0,0,0
2/28/2010,12,-1,0,8.7,3,100,6:13:00 PM,6:06:00 AM,6:24:00 AM,5:51:00 PM,0,3,5,3,18,2,72,0,1017,12,10,278,10,mississippi,NO,0,0,0
3/1/2010,11,2,0,7.2,2,100,7:24:00 PM,6:40:00 AM,6:23:00 AM,5:52:00 PM,2,3,5,3,19,52,81,2.3,1016,11,10,86,10,mississippi,NO,0,0,0
3/2/2010,6,2,0,4.2,1,85,8:33:00 PM,7:14:00 AM,6:22:00 AM,5:53:00 PM,2,-1,3,-1,33,89,94,4.5,1012,6,8,271,18,mississippi,NO,0,0,0
3/3/2010,7,-1,0,8.7,1,78,9:42:00 PM,7:49:00 AM,6:21:00 AM,5:54:00 PM,0,0,3,0,24,45,81,0,1018,7,10,271,13,mississippi,NO,0,0,0
3/4/2010,10,-1,0,8.7,2,71,10:48:00 PM,8:26:00 AM,6:20:00 AM,5:55:00 PM,-2,2,4,2,18,0,70,0,1022,10,10,307,10,mississippi,NO,0,0,0
3/5/2010,13,0,0,8.7,3,63,11:52:00 PM,9:08:00 AM,6:18:00 AM,5:55:00 PM,-1,3,5,3,18,0,66,0,1024,13,10,93,9,mississippi,NO,0,0,0
3/6/2010,14,0,0,8.7,3,56,No moonrise,9:54:00 AM,6:17:00 AM,5:56:00 PM,-1,5,6,5,14,0,65,0,1026,14,10,46,7,mississippi,NO,0,0,0
3/7/2010,16,1,0,8.7,3,49,12:51:00 AM,10:44:00 AM,6:16:00 AM,5:57:00 PM,1,7,8,7,13,12,61,0,1023,16,10,162,7,mississippi,NO,0,0,0
3/8/2010,20,4,0,8.7,4,42,1:45:00 AM,11:38:00 AM,6:15:00 AM,5:58:00 PM,6,11,12,11,15,8,67,0,1018,20,10,186,8,mississippi,NO,0,0,0
3/9/2010,15,10,0,4.3,3,34,2:31:00 AM,12:34:00 PM,6:13:00 AM,5:58:00 PM,10,11,12,11,31,83,89,8.2,1012,15,9,163,17,mississippi,NO,0,0,0
3/10/2010,18,13,0,4.3,4,27,3:12:00 AM,1:31:00 PM,6:12:00 AM,5:59:00 PM,15,15,16,15,29,96,96,18.4,1007,18,8,137,16,mississippi,NO,0,0,0
3/11/2010,22,13,0,10.2,4,20,3:48:00 AM,2:27:00 PM,6:11:00 AM,6:00:00 PM,14,17,18,17,25,48,83,31.9,1004,22,8,177,13,mississippi,YES,1,0,400
3/12/2010,17,9,0,10.2,3,12,4:19:00 AM,3:23:00 PM,6:09:00 AM,6:01:00 PM,9,11,12,11,25,52,84,10.9,1003,17,8,268,12,mississippi,NO,0,0,0
3/13/2010,10,7,0,6,2,5,4:48:00 AM,4:18:00 PM,6:08:00 AM,6:01:00 PM,6,6,8,6,26,74,86,0.8,1005,10,7,274,14,mississippi,NO,0,0,0
3/14/2010,13,7,0,6,2,0,5:15:00 AM,5:14:00 PM,6:07:00 AM,6:02:00 PM,7,7,10,7,26,87,85,0,1010,13,8,289,16,mississippi,NO,0,0,0
3/15/2010,13,6,0,8.8,2,0,6:41:00 AM,7:09:00 PM,7:06:00 AM,7:03:00 PM,6,7,10,7,26,42,83,0,1018,13,10,339,15,mississippi,NO,0,0,0
3/16/2010,13,5,0,10.2,2,2,7:08:00 AM,8:06:00 PM,7:04:00 AM,7:04:00 PM,5,8,9,8,18,35,80,0,1021,13,8,256,10,mississippi,NO,0,0,0
3/17/2010,13,7,0,6,2,9,7:36:00 AM,9:04:00 PM,7:03:00 AM,7:05:00 PM,7,8,9,8,17,84,85,0,1018,13,7,338,10,mississippi,NO,0,0,0
3/18/2010,16,7,0,10.2,3,16,8:07:00 AM,10:04:00 PM,7:02:00 AM,7:05:00 PM,8,10,11,10,17,51,84,0.1,1017,16,7,330,9,mississippi,NO,0,0,0
3/19/2010,20,6,0,11.6,4,24,8:42:00 AM,11:06:00 PM,7:00:00 AM,7:06:00 PM,7,12,13,12,14,8,74,0,1017,20,10,188,8,mississippi,NO,0,0,0
3/20/2010,18,8,0,10.3,3,31,9:24:00 AM,No moonset,6:59:00 AM,7:07:00 PM,9,12,13,12,23,31,84,0,1015,18,8,167,13,mississippi,NO,0,0,0
3/21/2010,13,3,0,6.3,2,38,10:11:00 AM,12:08:00 AM,6:58:00 AM,7:08:00 PM,5,5,8,5,32,84,86,32.3,1008,13,7,199,18,mississippi,NO,0,0,0
3/22/2010,8,3,0,6.3,2,46,11:07:00 AM,1:08:00 AM,6:56:00 AM,7:08:00 PM,4,2,5,2,23,95,92,4.1,1012,8,5,246,13,mississippi,NO,0,0,0
3/23/2010,21,4,0,11.6,3,53,12:09:00 PM,2:05:00 AM,6:55:00 AM,7:09:00 PM,8,12,12,12,13,30,83,0,1016,21,7,210,6,mississippi,NO,0,0,0
3/24/2010,21,8,0,11.6,4,60,1:17:00 PM,2:57:00 AM,6:53:00 AM,7:10:00 PM,10,14,14,14,22,12,78,0,1016,21,8,179,13,mississippi,NO,0,0,0
